"search-number","evaluation","evals-requested-so-far","grid-size-x*","grid-size-y*","speed-limit*","num-cars*","ticks-per-cycle*","current-auto?*","power?*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","500","5","5","2.6000000000000005","200","20","true","true","""-1889460941""","49","200","123.38922155688623","13.581391813537168","137"
"1","2","500","5","5","2.6000000000000005","200","20","true","true","""1603278699""","57","200","128.63473053892216","11.702662576407374","136"
"1","3","500","5","5","2.6000000000000005","200","20","true","true","""-1331791057""","70","200","134.2375249500998","11.532799706137117","137"
"1","4","500","5","5","2.6000000000000005","200","20","true","true","""963485858""","56","200","137.44111776447104","15.872965253792502","128"
"1","5","500","5","5","2.6000000000000005","200","20","true","true","""-1991754539""","65","200","123.7125748502994","11.396719771797772","125"
"1","6","500","5","5","2.6000000000000005","200","20","true","true","""1640575098""","67","200","133.0998003992016","20.817733305047398","157"
"1","7","500","5","5","2.6000000000000005","200","20","true","true","""448812162""","65","200","146.72055888223554","21.737565560269754","120"
"1","8","500","5","5","2.6000000000000005","200","20","true","true","""-1165046919""","59","200","138.60279441117765","17.93499127893985","154"
"1","9","500","5","5","2.6000000000000005","200","20","true","true","""2063871002""","72","200","134.88023952095807","12.19662366159238","141"
"1","10","500","5","5","2.6000000000000005","200","20","true","true","""-1325066692""","62","200","130.80239520958085","12.082999389700264","147"
"1","11","500","5","5","0.8","200","20","true","false","""-1902259040""","43","200","157.83632734530937","31.590523225876282","185"
"1","12","500","5","5","0.8","200","20","true","false","""-395831603""","53","200","155.81437125748502","27.549146503183955","200"
"1","13","500","5","5","0.8","200","20","true","false","""155246315""","41","200","158.79041916167665","28.515223794035947","200"
"1","14","500","5","5","0.8","200","20","true","false","""1686207264""","42","200","164.23353293413174","43.53917033308495","200"
"1","15","500","5","5","0.8","200","20","true","false","""-1026054359""","48","200","163.4870259481038","26.928764014290067","176"
"1","16","500","5","5","0.8","200","20","true","false","""-844160771""","60","200","169.91816367265469","34.91090502151378","200"
"1","17","500","5","5","0.8","200","20","true","false","""1199803657""","44","200","151.0938123752495","22.549083831427158","174"
"1","18","500","5","5","0.8","200","20","true","false","""-915629533""","42","200","156.6427145708583","31.3400397545435","167"
"1","19","500","5","5","0.8","200","20","true","false","""419422352""","49","200","157.62874251497007","30.43566809215083","200"
"1","20","500","5","5","0.8","200","20","true","false","""1162377390""","49","200","178.87624750499003","34.45165677715085","200"
"1","21","500","5","5","0.8","200","20","true","true","""-1897434434""","65","200","135.6127744510978","11.701869785937026","121"
"1","22","500","5","5","0.8","200","20","true","true","""-1076934519""","67","200","121.18962075848303","9.012323343949028","124"
"1","23","500","5","5","0.8","200","20","true","true","""1745231394""","58","200","128.0558882235529","10.864661534510907","139"
"1","24","500","5","5","0.8","200","20","true","true","""512404174""","61","200","120.17764471057885","8.993907895988084","133"
"1","25","500","5","5","0.8","200","20","true","true","""-1466051533""","59","200","118.54690618762476","12.021659428264563","125"
"1","26","500","5","5","0.8","200","20","true","true","""721568968""","61","200","115.60079840319361","9.040814087308593","120"
"1","27","500","5","5","0.8","200","20","true","true","""254068293""","67","200","125.82634730538922","13.126148880427102","150"
"1","28","500","5","5","0.8","200","20","true","true","""-2033393767""","64","200","130.70259481037925","11.747568823100925","146"
"1","29","500","5","5","0.8","200","20","true","true","""-374942782""","70","200","129.3992015968064","9.582083247461242","141"
"1","30","500","5","5","0.8","200","20","true","true","""-1548370598""","57","200","121.37524950099801","11.350546514931553","129"
"1","31","500","5","5","1.4000000000000001","200","20","true","false","""410047925""","52","200","182.30938123752495","32.12460259390553","200"
"1","32","500","5","5","1.4000000000000001","200","20","true","false","""-689825660""","45","200","179.72055888223554","37.75936647359211","200"
"1","33","500","5","5","1.4000000000000001","200","20","true","false","""1306156280""","43","200","169.08582834331338","34.82680890869082","200"
"1","34","500","5","5","1.4000000000000001","200","20","true","false","""-615689835""","56","200","160.97804391217565","36.35064672005257","200"
"1","35","500","5","5","1.4000000000000001","200","20","true","false","""-647185187""","48","200","170.53892215568862","40.12496706585512","200"
"1","36","500","5","5","1.4000000000000001","200","20","true","false","""-676332411""","66","200","179.63273453093814","32.352138203021326","200"
"1","37","500","5","5","1.4000000000000001","200","20","true","false","""1698732992""","54","200","173.9001996007984","33.72153644127244","200"
"1","38","500","5","5","1.4000000000000001","200","20","true","false","""-1875441680""","38","200","172.00598802395209","29.597870938157815","200"
"1","39","500","5","5","1.4000000000000001","200","20","true","false","""-884317769""","48","200","178.2554890219561","36.298961346165285","200"
"1","40","500","5","5","1.4000000000000001","200","20","true","false","""-588209044""","52","200","176.58283433133732","26.823788411604045","200"
"1","41","500","5","5","0.8","200","20","true","false","""1584768089""","44","200","160.48303393213573","26.972174765429067","197"
"1","42","500","5","5","0.8","200","20","true","false","""-1814199830""","56","200","167.49500998003992","37.829967949363635","200"
"1","43","500","5","5","0.8","200","20","true","false","""1118534488""","60","200","145.7185628742515","22.604836534037105","191"
"1","44","500","5","5","0.8","200","20","true","false","""168311529""","67","200","181.4131736526946","31.33654330183487","200"
"1","45","500","5","5","0.8","200","20","true","false","""2086664805""","43","200","161.67265469061877","28.84802646176198","200"
"1","46","500","5","5","0.8","200","20","true","false","""1575242203""","42","200","169.06187624750498","30.43876087610417","200"
"1","47","500","5","5","0.8","200","20","true","false","""-1484235972""","45","200","147.49500998003992","28.00754318125563","160"
"1","48","500","5","5","0.8","200","20","true","false","""853418202""","42","200","158.499001996008","28.460613117113184","191"
"1","49","500","5","5","0.8","200","20","true","false","""384422261""","64","200","178.1676646706587","29.592428631920882","200"
"1","50","500","5","5","0.8","200","20","true","false","""1622342295""","45","200","166.20159680638722","31.779510339920563","200"
"1","51","500","5","5","2","200","20","true","false","""1916350047""","35","200","180.1437125748503","37.39956290371838","200"
"1","52","500","5","5","2","200","20","true","false","""-1324990414""","43","200","176.08383233532933","30.0690032771927","200"
"1","53","500","5","5","2","200","20","true","false","""1977715373""","55","200","173.8562874251497","32.047578775770575","200"
"1","54","500","5","5","2","200","20","true","false","""495172579""","51","200","186.93413173652695","29.216119740558003","200"
"1","55","500","5","5","2","200","20","true","false","""223439472""","46","200","179.28343313373253","33.578676343626555","200"
"1","56","500","5","5","2","200","20","true","false","""1716007931""","57","200","174.33932135728543","30.91693113390364","200"
"1","57","500","5","5","2","200","20","true","false","""2029055958""","44","200","167.43313373253494","38.33721455661701","200"
"1","58","500","5","5","2","200","20","true","false","""1732298410""","48","200","161.4111776447106","28.326358657801002","170"
"1","59","500","5","5","2","200","20","true","false","""-1512556225""","54","200","146.14770459081836","32.46484467420964","200"
"1","60","500","5","5","2","200","20","true","false","""355575065""","50","200","178.30938123752495","29.564135228624096","200"
"1","61","500","5","5","4.6000000000000005","200","20","true","false","""-896781206""","43","200","182.16566866267465","31.0329904940209","200"
"1","62","500","5","5","4.6000000000000005","200","20","true","false","""1894557314""","47","200","164.79041916167665","34.679359683015306","200"
"1","63","500","5","5","4.6000000000000005","200","20","true","false","""1529211770""","47","200","172.0678642714571","28.143194296837535","200"
"1","64","500","5","5","4.6000000000000005","200","20","true","false","""-259433346""","58","200","177.00798403193613","33.42023243676994","200"
"1","65","500","5","5","4.6000000000000005","200","20","true","false","""-1155945365""","41","200","155.57085828343313","35.24516234977331","200"
"1","66","500","5","5","4.6000000000000005","200","20","true","false","""1466640090""","52","200","172.32734530938123","35.98672853620533","200"
"1","67","500","5","5","4.6000000000000005","200","20","true","false","""579692094""","53","200","172.8303393213573","34.404435145554096","200"
"1","68","500","5","5","4.6000000000000005","200","20","true","false","""-2110285729""","54","200","152.81437125748502","33.57742505097574","200"
"1","69","500","5","5","4.6000000000000005","200","20","true","false","""1056305582""","58","200","144.499001996008","31.169191503823082","182"
"1","70","500","5","5","4.6000000000000005","200","20","true","false","""548005440""","48","200","155.09580838323353","36.7255061557389","200"
"1","71","500","5","5","3.6000000000000005","200","20","true","false","""-15313877""","36","200","168.26347305389223","31.881819946699583","200"
"1","72","500","5","5","3.6000000000000005","200","20","true","false","""794513649""","36","200","168.04790419161677","32.82873285094635","200"
"1","73","500","5","5","3.6000000000000005","200","20","true","false","""386681417""","53","200","156.30938123752495","32.73875519650019","200"
"1","74","500","5","5","3.6000000000000005","200","20","true","false","""27829370""","45","200","177.58483033932137","36.24162371391739","200"
"1","75","500","5","5","3.6000000000000005","200","20","true","false","""-1284768729""","40","200","158.91616766467067","32.431604309436125","200"
"1","76","500","5","5","3.6000000000000005","200","20","true","false","""-1651325865""","31","200","131.562874251497","20.242493396865815","132"
"1","77","500","5","5","3.6000000000000005","200","20","true","false","""-1910144199""","53","200","164.88622754491018","36.308911164342454","200"
"1","78","500","5","5","3.6000000000000005","200","20","true","false","""-998764540""","59","200","154.1556886227545","35.55569873557333","200"
"1","79","500","5","5","3.6000000000000005","200","20","true","false","""-229194369""","53","200","179.12175648702595","33.87658698435518","200"
"1","80","500","5","5","3.6000000000000005","200","20","true","false","""1488488182""","56","200","171.437125748503","38.28397235034745","200"
"1","81","500","5","5","1.8","200","20","true","true","""1854233872""","57","200","132.36327345309383","13.287729996619936","143"
